question_text,question_img_url,difficulty_level,explanation,explanation_img_url,chapter_id,question_choice_1,question_choice_2,question_choice_3,question_choice_4,question_choice_1_image_url,question_choice_2_image_url,question_choice_3_image_url,question_choice_4_image_url,correct_choice,,1,easy
"What is the equilibrium expression for the reaction $\mathrm{Cu}_{2} \mathrm{SO}_{4}(\mathrm{s}) ?$
\[
2 \mathrm{Cu}^{+}(a q)+\mathrm{SO}_{4}^{2-}(a q) ?
\]",,difficult,"Recall that pure solids and liquids do not appear in the equilibrium expression; thus, this $K_{\mathrm{eq}}$ has no denominator because the only reactant is a solid, cuprous sulfate. This could also be called $K_{\mathrm{sp}}$ because a solid is dissolving into ions in solution. The correct $\left.K_{\text {eq }} \text { should have [Cu }^{+}\right]$ squared because its stoichiometric coefficient is 2",,64,$\frac{\left[\mathrm{Cu}^{+}\right]^{2}\left[\mathrm{SO}_{4}^{2-}\right]}{\left[\mathrm{Cu}_{2} \mathrm{SO}_{4}\right]}$,$\frac{2 \times\left[\mathrm{Cu}^{+}\right]\left[\mathrm{SO}_{4}^{2-}\right]}{\left[\mathrm{Cu}_{2} \mathrm{SO}_{4}\right]}$,$\left[\mathrm{Cu}^{+} \mathrm{ISO}_{4}^{2-}\right]$,$\left[\mathrm{Cu}^{+}\right]^{2}\left[\mathrm{SO}_{4}^{2-}\right]$,,,,,4,,,
"What is the proper equilibrium expression for the reaction below?
$2 \quad \mathrm{NO}_{2}(g)+4 \mathrm{H}_{2}(g) ? \mathrm{N}_{2}(g)+4 \mathrm{H}_{2} \mathrm{O}(g)$",,moderate,"Recall that equilibrium constants are either based on concentrations $\left(K_{c}\right)$ or partial pressures $\left(K_{p}\right) .$ In this case, because all species are in the gas phase, we are using $K_{p}-$ eliminating choices
(B) and (D). When water is in the liquid phase, it does not appear in equilibrium expressions, as in choice
(C). Here, however, water is in the gaseous phase and thus should appear in the equilibrium expression.",,64,"$K_{\mathrm{p}}=\frac{P_{\mathrm{N}_{2}} \times\left(P_{\mathrm{H}, \mathrm{O}}\right)^{4}}{\left(P_{\mathrm{NO}_{2}}\right)^{2} \times\left(P_{\mathrm{H}_{2}}\right)^{4}}$","$K_{\mathrm{c}}=\frac{P_{\mathrm{N}_{2}} \times\left(P_{\mathrm{H}, 0}\right)^{4}}{\left(P_{\mathrm{NO}_{2}}\right)^{2} \times\left(P_{\mathrm{H}_{2}}\right)^{4}}$",$K_{p}=\frac{P_{\mathrm{N}_{2}}}{\left(P_{\mathrm{NO}_{2}}\right)^{2} \times\left(P_{\mathrm{H}_{2}}\right)^{4}}$,$K_{\mathrm{c}}=\frac{P_{\mathrm{N}_{2}}}{\left(P_{\mathrm{NO}_{2}}\right)^{2} \times\left(P_{\mathrm{H}_{2}}\right)^{4}}$,,,,,1,,,
"Carbonated beverages are produced by dissolving carbon dioxide in water to produce carbonic acid:
$\mathrm{CO}_{2}(g)+\mathrm{H}_{2} \mathrm{O}(l) \rightarrow \mathrm{H}_{2} \mathrm{CO}_{3}(a q)$
When a bottle containing carbonated water is opened, the taste of the beverage gradually changes as the carbonation is lost. Which of the following statements best explains this phenomenon?",,difficult,"Carbon dioxide gas evolves and leaves the bottle, which decreases the total pressure of the reactants. Le Chatelier's principle explains that a decrease in pressure shifts the equilibrium to increase
the number of moles of gas present. This reaction will shift to the left, which in turn will decrease the
amount of carbonic acid and increase the amount of carbon dioxide and water. Oxygen and nitrogen are
not highly reactive and are unlikely to combine spontaneously with carbon dioxide or carbonic acid, as
in choices (C) and (D).",,64,"The change in pressure and volume causes the reaction to shift to the left, thereby decreasing the amount of aqueous carbonic acid.","The change in pressure and volume causes the reaction to shift to the right, thereby decreasing the amount of gaseous carbon dioxide.",Carbonic acid reacts with environmental oxygen and nitrogen.,Carbon dioxide reacts with environmental oxygen and nitrogen.,,,,,1,,,
"Which of the following statements best describes the effect of lowering the temperature of the following reaction?
$
A+B \rightleftharpoons C+D \quad \Delta H=-1.12 \frac{k J}{m o l}
$",,difficult,"A negative $\Delta H$ value indicates an exothermic reaction, meaning that the forward reaction produces heat. Visualize this as follows:
$A+B-C+D+$ heat
This means that removing heat by decreasing the temperature is like removing any other product of the reaction. To compensate for this loss, the reaction will shift to the right, causing an increase in the
concentrations of $\mathrm{C}$ and $\mathrm{D}$ as well as a decrease in the concentrations of $\mathrm{A}$ and $\mathrm{B}$.",,64,[C] and [D] would increase.,[A] and [B] would increase.,$\Delta$ H would increase.,$\Delta$ H would decrease.,,,,,1,,,
"Consider the following two reactions:
$3 A+2 B \rightarrow 3 C+4 D(\text { Reaction } 1)$
$4 D+3 C \rightarrow 3 A+2 B$ (Reaction 2)
If $K_{\mathrm{eq}}$ for reaction 1 is equal to $0.1,$ what is $K_{\mathrm{eq}}$ for reaction $2 ?$",,difficult,"Reaction 2 is simply the reverse of reaction $1 .$ This means that $K_{\mathrm{eq}}$ for reaction 2 is the inverse of $K_{\mathrm{eq}}$ of reaction $1,$ so the answer is $(0.1)^{-1}=10$",,64,0.1,1,10,100,,,,,3,,,
"Compound $A$ has a $K_{a}$ (equilibrium constant of acid dissociation) of approximately $10^{-4}$. Which of the
following compounds is most likely to react with a solution of compound A?",,moderate,"$K_{\mathrm{a}}$ is equal to the ratio of products to reactants, with each species raised to its
stoichiometric coefficient. A compound with a $K_{\mathrm{a}}$ greater than $10^{-7}$ contains more $\mathrm{H}^{+}$ cations than
$\mathrm{HA}^{-}$ anions at equilibrium, which makes it an acid. This means that the compound in question is likely to
react with a compound that is basic. Of the four answer choices, $\mathrm{NH}_{3}$ is the only base.",,64,$HNO_3$,$NO_2$,$NH_3$,$N_2O_5$,,,,,3,,,
"Which of the following is true of equilibrium reactions?
I. An increase in $k_{1}$ results in a decrease in $k_{-1}$
II. As the concentration of products increases, the concentrations of reactants decreases.
III. The equilibrium constant is altered by changes in temperature.",,moderate, Statement I is false because the addition of a catalyst could increase the rate constants of both the forward and reverse reactions. Statement II is true because—for products to come into existence—reactants must be used up. Statement III is also true: all K values are temperature dependent.,,64,I only,II and III only,I and III only,"I, II, and III",,,,,2,,,
Increasing temperature can alter the $K_{e q}$ of a reaction. Why might increasing temperature indefinitely be unfavorable for changing reaction conditions?,,difficult,"At extremely high temperatures, reactants or products may decompose, which will affect the equilibrium and potentially destroy the desired products. Choice (A) implies that reactions have limits, which is true; however, this does not make increasing temperature unfavorable. Choice (C) is false because increasing temperature would also increase pressure, assuming constant volume. Choice (D) is incorrect because it refers to properties of irreversible reactions which would not be involved in an equilibrium between products and reactants.",,64,The equilibrium constant has a definite limit that cannot be surpassed.,The products or reactants can decompose at high temperatures.,"Increasing temperature would decrease pressure, which may or may not alter reaction conditions.","If a reaction is irreversible, its $K_eq$ will resist changes in temperature.",,,,,2,,,
In case of gases Kc is replaced by:,,easy," In case of gases, equilibrium constant $(K_c)$ is changed into pressure constant $(K_p)$.
Equilibrium constant $\mathrm{K}_{\mathrm{p}}$ is equal to the partial pressure of products divided by partial pressure of reactants and the partial pressure are raised with some power which is equal to the coefficient of the substance in balanced equation.
\[
K_{\mathrm{p}}=\frac{\left(\mathrm{P}_{\mathrm{C}}\right)^{c}\left(\mathrm{P}_{\mathrm{D}}\right)^{d}}{\left(\mathrm{P}_{\mathrm{A}}\right)^{a}\left(\mathrm{P}_{\mathrm{B}}\right)^{b}}
\]",,64,$K_a$,$K_b$,$K_p$,K,,,,,3,,,
Conversion of reactant into product in unit time is called:,,easy,As stated above,,64,The rate of forward reaction,rate of backward reaction,rate constant,rate coefficient,,,,,1,,,
Reaction which proceeds in both directions is called:,,easy,"A reversible reaction is a chemical reaction where the reactants form products that, in turn, react together to give the reactants back. Reversible reactions will reach an equilibrium point where the concentrations of the reactants and products will no longer change.",,64,Reversible,irreversible,spontaneous,nonspontaneous,,,,,1,,,
Which of the following statements is false about the $K_{eq}$ of a reversible chemical reaction?,,difficult,"$K_{eq}$ only includes the concentrations of gases and aqueous solutions. Pure solid and liquid concentrations are left out of the equation.
$K_{eq}$is given by the equation below, where the concentrations expressed are the equilibrium concentrations.
$K_{eq}$[products][reactants]
$K_{eq}$ is a property of a given reaction at a given temperature. It is unaffected by catalysts, which only affect rate and activation energy. As the value of $K_{eq}$ increases, the equilibrium concentration of products must also increase, based on the equation.",,64,$K_eq$ is temperature dependent,"As $K_eq$ increases, the equilibrium concentration of products in the reaction increases",Pure liquid and solid concentrations are found in the $K_eq$ equation,$K_eq$ is not affected by catalysts,,,,,3,,,
When sparingly soluble salt is in equilibrium with molar concentration of its oppositely charged ion then the product is called:,,moderate,Solubility (product) or equilibrium is a type of dynamic equilibrium that exists when a chemical compound in the solid state is in chemical equilibrium with a solution of that compound.,,64,Common iron coefficient,solubility product,dissociation constant,Dissociation constant for an acid,,,,,2,,,
Any substance which accepts H+ is base favors the concept:,,moderate,"Brønsted–Lowry theory, also called proton theory of acids and bases, a theory, introduced independently in 1923 by the Danish chemist Johannes Nicolaus Brønsted and the English chemist Thomas Martin Lowry, stating that any compound that can transfer a proton to any other compound is an acid",,64,Lowrys,Lewis,Arrhenius,None of these,,,,,1,,,
Negative log of molar concentration of H+ ions is called:,,moderate,"pH is a scale used to specify how acidic or basic (or alkaline) a water-based solution is. Acidic solutions have a lower pH, while basic solutions have a higher pH. At room temperature ($25^\circ$ C or $77^\circ$F), pure water is neither acidic nor basic and has a pH of 7.",,64,pH,pOH,pKa,pKw,,,,,1,,,
Idea of pH and pOH was put forward by:,,easy,"Such was the case with the concept of pH, introduced in 1909 by Søren Sørensen as a convenient way of expressing acidity—the negative logarithm of hydrogen ion concentration.",,64,Gibbs,Einstein,Sorensen,Chadwick,,,,,3,,,
Catalyst used to speed up the reaction of ammonia synthesis is,,easy,As stated above,,64,$V_2O_5$,$V_2O_5$ and Pt,Fe,"Pieces of Fe crystals are embedded in fused mixture of MgO, $Al_2O_3$ and $SiO_2$",,,,,4,,,
Which of following is not a base?,,moderate,"Bromine fluoride is acidic in nature and produce salt and water with bases and alkalis. Ammonia is a weak base because its nitrogen atom has an electron pair that readily accepts a proton. Also, when dissolved in water, ammonia acquires hydrogen ions from water to produce hydroxide and ammonium ions. It is the production of these hydroxide ions that imparts ammonia its characteristic basicity.  Phosphine $(PH_3)$ , organic compounds containing phosphorus (P); amines; and anions act as Lewis bases because nonbonding pairs are present in these compounds. These nonbonding pairs of electrons are then donated in an acid-base reaction. Potassium hydroxide, KOH, is a strong base as it splits into its atoms and hydroxide ions in water solution.",,64,KOH,$NH_3$,$BF_3$,$PH_3$,,,,,3,,,
For a reaction involving only gases at 25 C the equilibrium constant can be expressed in terms of molarity Kc or partial pressure $K_p$ . Which is true about the numerical value of $K_p$?,,moderate,"As Kc = $K_P \times \Delta$n, where n is the number of moles. $\Delta$n shows the change in moles before and after a reaction. So, $K_C$ is equal to $K_P$ if the total moles of reactants and products are equal since $\Delta$n =0 at that time.",,64,$\mathrm{Kc}$ is generally less than $\mathrm{K}_{\mathrm{p}}$,Kc is equal to $K_p$ if the total moles of reactants and products are equal,Kc is generally greater than $K_p$,Kc is generally equal to $K_p$,,,,,2,,,
Which of the following will not change the concentration of ammonia at the equilibrium?,,moderate,catalyst does not change the amount of product produced. it only speeds up the chemical reaction. The rest of the option influences the quantity of product produced if there’s a change.,,64,Increase of pressure,Increase of volume,Addition of catalyst,Degrees of temperature,,,,,3,,,
If a buffer solution of higher pH than seven is to be made we use:,,moderate,"An alkaline buffer solution has a pH greater than 7. A frequently used example is a mixture of ammonia solution and ammonium chloride solution. If these were mixed in equal molar proportions, the solution would have a pH of 9.25. Basic buffer has a basic pH and is prepared by mixing a weak base and its salt with strong acid. They contain a weak base and a salt of the weak base.",http://d15o1jx56rxevg.cloudfront.net/ecat/chemistry/c8_Chemical_equilibrium/c8e30.PNG,64,Weak acid and strong base,Weak acid and its salt with strong base,Weak acid and strong base,Strong acid and strong base,,,,,2,,,
$K_C$ value has:,,moderate,"Equilibrium constant can have units or no units depending on the moles of reactants and products. The letter c implies that reagent amounts are expressed as molar concentration. For the reaction A+B = AB, the equilibrium constant Kc is defined as [AB] / [A][B]. Brackets denote reagent concentrations that must be given in order to compute Kc.",,64,No units,Units,both A&B,none,,,,,3,,,
The pH of 10.3 mol $dm^3$ of an aqueous solution of $H_2SO_4$ is,,moderate,"Sulfuric acid is a strong acid which has a pH of around 2.7
\[
\mathrm{pH}=-\log \left[\mathrm{H}^{+}\right]
\]
since there are 2 hydrogen ions in sulfuric acid, so concentration $=2 \times 10.3=20.6 \mathrm{mol} \mathrm{dm}^{-3}$
\[
\mathrm{pH}=-\log [20.6]=2.7
\]",,64,3,2.7,2,1.5,,,,,2,,,
If $K_{c}>1$,,moderate,"The larger the value of $K_{\mathrm{eq}}$ (whether $K_{\mathrm{c}}$ or $K_{\mathrm{p}}$ ), the larger the ratio of products to reactants. Therefore, if $K_{c}-1,$ there are significantly larger concentrations of products than reactants at equilibrium. Even with
a large $K_{\mathrm{eq}^{\prime}}$ the reaction will ultimately reach equilibrium far toward the products side and is therefore reversible, eliminating choice (D).",,64,the equilibrium mixture will favor products over reactants.,the equilibrium mixture will favor reactants over products.,the equilibrium concentrations of reactants and products are equal.,the reaction is essentially irreversible.,,,,,1,,,
"Acetic acid dissociates in solution according to the following equation:
\[
\mathrm{CH}_{3} \mathrm{COOH} \rightarrow \mathrm{CH}_{3} \mathrm{COO}^{-}+\mathrm{H}^{+}
\]
If sodium acetate is added to a solution of acetic acid in excess water, which of the following effects
would be observed in the solution?",,moderate,"Adding sodium acetate increases the number of acetate ions present. According to Le Chatelier's
principle, this change will push this reaction to the left, resulting in a decrease in the number of free
$\mathrm{H}^{+}$ ions. Because $\mathrm{pH}$ is determined by the hydrogen ion concentration, a decrease in the number of free
protons will increase the pH. An acid's $K_{\mathrm{a}}$ (which is simply the $K_{\mathrm{eq}}$ for acid dissociation) will remain constant under a given temperature and pressure, eliminating choices(C) and (D).",,64,Decreased pH,Increased pH,$\text { Decreased } \mathrm{p} K_{\mathrm{eq}}\left(\mathrm{p} K_{\mathrm{a}}\right)$,$\text { Increased } \mathrm{p} K_{\mathrm{eq}}\left(\mathrm{p} K_{\mathrm{a}}\right)$,,,,,2,,,
"If the reaction Fel $(a q)+\mathrm{I}_{2}(g) \rightarrow \mathrm{Fel}_{3}(a q)$ were exothermic, what effect would decreasing the
temperature have on the equilibrium?",,moderate,"An exothermic reaction produces heat. Decreasing the temperature favors product formation, resulting in an increase in the forward reaction rate with a concomitant decrease in the reverse reaction rate.",,64,The forward reaction rate and the reverse reaction rate both increases.,The forward reaction rate decreases while the reverse reaction rate increases.,The forward reaction rate increases while the reverse reaction rate decreases.,The forward reaction rate and the reverse reaction rate both decreases.,,,,,3,,,
Which of the following actions does NOT affect the equilibrium position of a reaction?,,moderate,"The equilibrium of a reaction can be changed by several factors. Adding or subtracting heat, choice (A), would shift the equilibrium based on the enthalpy change of the reaction. Increasing reactant concentrations would shift the equilibrium in the direction of the product, and the opposite would occur if reactant concentrations were decreased, eliminating choice (C). Changing the volume of a reactant would affect any reaction with gaseous reactants or products, eliminating choice (D). While adding or removing a catalyst would change the reaction rate, it would not change where the equilibrium lies.",,64,Adding or subtracting heat.,Adding or removing a catalyst.,Increasing or decreasing concentrations of reactants.,Increasing or decreasing volumes of reactants.,,,,,2,,,
"In a sealed 1 L container, 1 mole of nitrogen gas reacts with 3 moles of hydrogen gas to form 0.05
moles of $\mathrm{NH}_{3}$ at equilibrium. Which of the following is closest to the $K$ of the reaction?",,difficult,"The first step to answering this question is to write out the balanced equation for the
reaction of $\mathrm{H}_{2}$ and $\mathrm{N}_{2}$ to produce $\mathrm{NH}_{3}: \mathrm{N}_{2}+3 \mathrm{H}_{2}-2 \mathrm{NH}_{3}$. This means that $K_{\mathrm{c}}$ is equal to $\frac{\left[\mathrm{NH}_{3}\right]^{2}}{\left[\mathrm{N}_{2}\right]\left[\mathrm{H}_{2}\right]^{3}}$. Because
the volume is $1 \mathrm{L}$, the amount of each gas (in moles) is equal to the value of the concentration of each
$\operatorname{gas}(\operatorname{in} M) .$ If we start with 1 mole $\mathrm{N}_{2}$ and 3 moles $\mathrm{H}_{2}$, some amount $x$ of $\mathrm{N}_{2}$ will react with $3 x$ amount of $\mathrm{H}_{2}$ to form $2 x$ amount of ammonia according to their stoichiometric coefficients. The amount of
ammonia at equilibrium is given here as $0.05 \mathrm{M} ;$ thus, $2 x=0.05$ and $x=0.025 .$ Thus, the concentration of
$\mathrm{N}_{2}$ at equilibrium is $1-0.025=0.975 \mathrm{M},$ and the concentrations of $\mathrm{H}_{2}$ at equilibrium is $3-3 \times 0.025=$ $2.925 M .$ Note that these changes are negligible because the answer choices differ by powers of ten. Thus, we can plug into the $K_{\text {eq }}$ expression to get $\frac{\left[\mathrm{NH}_{3}\right]^{2}}{\left[\mathrm{N}_{2}\right]\left[\mathrm{H}_{2}\right]^{3}} \approx \frac{[0.05]^{2}}{[1][3]^{3}}=\frac{0.0025}{27} \approx 0.0001$",,64,0.0001,0.001,0.01,0.1,,,,,1,,,
An aqueous solution was prepared by mixing 70 g of an unknown non dissociating solute into 100 g of water. The solution has a boiling point of 101.11°C. What is the molar mass of the solute? \[ K_b =0.512 K . kg/mol \],,moderate,"The equation \( \Delta T_{b}=i K_{b} m \) can be used to solve this problem. The change in boiling point is \( 101.11-100=1.11^{\circ} \mathrm{C} . \) Then, we can plug that into:
\( \Delta T_{\mathrm{b}}=i K_{\mathrm{b}} m \rightarrow m=\frac{\Delta T_{\mathrm{b}}}{i K_{\mathrm{b}}}=\frac{1.11 \mathrm{K}}{(\mathrm{l})\left(0.512 \frac{\mathrm{K} \cdot \mathrm{kg}}{\mathrm{mol}}\right)} \approx 2 m \)
The van 't Hoff factor for this solute is 1 because the molecule does not dissociate into smaller components. Then, we can convert to grams of solute using the definition of molality:
molality \( =\frac{\text { moles of solute }}{\mathrm{kg} \text { of solvent }} \rightarrow \) moles of solute \( =(2 m)(0.1 \mathrm{kg})=0.2 \mathrm{mol} \)
The mass used in this equation is \( 0.1 \mathrm{kg} \) because \( 100 \mathrm{mL} \) of water has a mass of \( 0.1 \mathrm{kg} \). Then, we can determine the molar mass:
molar mass \( =\frac{70 \mathrm{g}}{0.2 \mathrm{mol}}=350 \frac{\mathrm{g}}{\mathrm{mol}} \)
which is closest to choice (A).",,65,322.58 g/mol,32.26 g/mol,123.24 g/mol,233.59 g/mol,,,,,1,,,
"Two organic liquids, pictured in the figure below, are combined to form a solution. Based on their structures, will the solution closely obey Raoult's law?",http://d15o1jx56rxevg.cloudfront.net/ecat/chemistry/c8_Solutions/c8q2.PNG,difficult,"Benzene and toluene are both organic liquids and have very similar properties. They are both nonpolar and are almost the same size. Raoult's law states that ideal solution behavior is observed when solute-solute, solvent-solvent, and solute-solvent interactions are all very similar. Therefore, benzene and toluene in solution will be predicted to behave as a nearly ideal solution.",,65,"Yes; the liquids differ due to the additional methyl group on toluene and, therefore, will not deviate from Raoult's law.","Yes; the liquids are very similar and, therefore, will not deviate from Raoult's law.","No; the liquids differ due to the additional methyl group on toluene and, therefore, will deviate from Raoult's law.","No; the liquids both contain benzene rings, which will interact with each other and cause deviation from Raoult's law.",,,,,2,,,
Which of the following explanations best describes the mechanism by which solute particles affect the melting point of ice?,,moderate,"Melting point depresses upon solute addition, making choices (A) and (B) incorrect. Solute particles interfere with lattice formation, the highly organized state in which solid molecules align themselves. Colder-than-normal conditions are necessary to create the solid structure.",,65,Melting point is elevated because the kinetic energy of the substance increases.,Melting point is elevated because the kinetic energy of the substance decreases.,Melting point is depressed because solute particles interfere with lattice formation.,Melting point is depressed because solute particles enhance lattice formation.,,,,,3,,,
"The entropy change when a solution forms can be expressed by the term $\Delta S^{\circ}$ soln. When an ion dissolves and water molecules are ordered around it, the ordering would be expected to make a negative contribution to $\Delta S^{\circ}$ soln. An ion that has more charge density will have a greater hydration effect or ordering of water molecules. Based on this information, which of the following compounds will have the most negative $\Delta S^{\circ}$ soln?",,difficult,"CaS will cause the most negative ΔS°soln because the $Ca^{2+}$ and $S^{2-}$ ions have the highest charge density compared to the other ions. All of the other ions have charges of +1 or -1, whereas $Ca^{2+}$ and $S^{2-}$ each have charges with a magnitude of 2.",,65,KCl,LiF,CaS,NaCl,,,,,3,,,
Homogeneous mixture of two or more than two compounds is called:,,easy,A solution is a liquid mixture in which the minor component (the solute) is uniformly distributed within the major component (the solvent).,,65,solution,compound,radical,ion,,,,,1,,,
Which phases of solvent and solute can form a solution?,,difficult,"All three choices can make a solution as long as the two components create a mixture that is of uniform appearance (homogenous). Hydrogen in platinum is an example of a gas in a solid. Brass and steel are examples of homogenous mixtures of solids. The air we breathe is an example of a homogenous mixture of gases; while these are more commonly simply referred to as mixtures, they still fit the criteria of a solution.",,65,"Solid solvent, gaseous solute","Solid solvent, solid solute","Gaseous solvent, gaseous solute",All of the above,,,,,4,,,
ppm means,,easy,"An abbreviation for ""parts per million"" and it also can be expressed as milligrams per liter (mg/L). This measurement is the mass of a chemical or contaminate per unit volume of water. Seeing ppm or mg/L on a lab report means the same thing. ",,65,parts of solute in 1000 parts of solvent,parts of solvent in 1000 parts of solute,"parts of solute in 1,000,000 parts of solution","parts of solvent in 1,000,000 parts of solute",,,,,3,,,
"The process of formation of a liquid solution can be better understood by breaking the process into three steps:
\[ \text{1. Breaking the solute into its individual components} \]
\[\text{2. Making room for the solute in the solvent by overcoming intermolecular forces in the solvent}\]
\[\text{3. Allowing solute–solvent interactions to occur to form the solution}\]
\[Which of the following correctly lists the enthalpy changes for these three steps, respectively?\]",,difficult,"The first step will most likely be endothermic because energy is required to break molecules apart. The second step is also endothermic because the intermolecular forces in the solvent must be overcome to allow incorporation of solute particles. The third step will most likely be exothermic because polar water molecules will interact with the dissolved ions, creating a stable solution and releasing energy.",,65,"Endothermic, exothermic, endothermic","Exothermic, endothermic, endothermic ","Exothermic, exothermic, endothermic","Endothermic, endothermic, exothermic",,,,,4,,,
The relative lowering of vapor pressure is ,,difficult,The relative lowering of vapour pressure is the ratio of vapour pressure lowering of solvent from solution to the vapour pressure of pure solvent. W1 and W2 are the masses of solvent and solute respectively. M1 and M2 are the molar masses of solvent and solute respectively.,,65,equal to the mole fraction of solvent,equal to the mole fraction of solute,directly proportional to the mole fraction of solute,both b and c,,,,,4,,,
"When ammonia, $NH_3$, is used as a solvent, it can form complex ions. For example, dissolving AgCl in $NH_3$ will result in the complex ion $[Ag(NH_3)]^{2+}$. What effect would the formation of complex ions to have on the solubility of a compound like AgCl in $NH_3$?",,difficult,"Formation of complex ions between silver ions and ammonia will cause more molecules of solid AgCl to dissociate. The equilibrium is driven toward dissociation because the $Ag^{+}$ ions are essentially being removed from solution when they complex with ammonia. This rationale is based upon Le Chatelier's principle, stating that when a chemical equilibrium experiences a change in concentration, the system will shift to counteract that change.",,65,"The solubility of AgCl will increase because complex ion formation will cause more ions to exist in solution, which interact with AgCl to cause it to dissociate", The solubility of AgCl will increase because complex ion formation will consume Ag+ ions and cause the equilibrium to shift away from solid AgCl.,"The solubility of AgCl will decrease because Ag+ ions are in complexes, and the Ag+ ions that are not complexed will want to associate with Cl- to form solid AgCl.",The solubility of AgCl will decrease because complex ion formation will consume Ag+ ions and cause the equilibrium to shift toward the solid AgCl.,,,,,2,,,
"If more solvent is added to the solution, the value of heat of solution",,moderate,"The enthalpy of solution, enthalpy of dissolution, or heat of solution is the enthalpy change associated with the dissolution of a substance in a solvent at constant pressure resulting in infinite dilution. The enthalpy of solution is most often expressed in kJ/mol at constant temperature. If more solvent is added to the solution, there is an increase in the enthalpy of solution",,65,increases,decreases,is not affected,is affected in case of infinitely dilute,,,,,1,,,
a colligative property of a solution depends upon:,,easy,"Colligative properties of solutions are properties that depend upon the concentration of solute molecules or ions, but not upon the identity of the solute. Colligative properties include vapor pressure lowering, boiling point elevation, freezing point depression, and osmotic pressure.",,65,the number of molecules of solute in the solution,the number of molecules of solvent in the solution,total number of molecules of solute and solvent present in solution,structure of solute molecules,,,,,1,,,
"One hundred grams of sucrose are dissolved in a cup of hot water at $80^{\circ} C$. The cup of water contains 300.00 mL of water. What is the percent composition by mass of sugar in the resulting solution? (Note: Sucrose = $C_{12}H_{22}O_{11}$, density of water at  $80^{\circ}) C = 0.975g/mol$)
",,difficult,"The mass percent of a solute equals the mass of the solute divided by the mass of the total solution times $100 \%$. To find the mass of the solution, first find the mass of the solvent, water. Multiplying the volume of the water by the density gives a mass of 292.5 grams of water. Adding 100 grams of sugar yields a solution with a mass of 392.5 grams. Next, divide 100 grams of sugar by 392.5 grams and multiply by 100 to get $25.5 \%$. Choice (A) results if water's density at $80^{\circ}$C is assumed to be 1g/ml   If we had forgotten to add the solute's mass to the solvent's, we would have calculated $34.2 \%$, which is choice (D). Choice (C) neglects both the addition step and the correct density value.",,65,$25.0\%$,$25.5\%$,$33.3\%$,$34.2\%$,,,,,2,,,
Which has the minimum freezing point?,,moderate,$CaCl_2 \rightarrow Ca2^+ + 2Cl^- $ Since it's Vant Hoff factor is 3 it shows minimum freezing point ,,65,1 molal NaCl,1 molal $CaCl_2$,1 molal KCl,1 molal urea solution,,,,,2,,,
Which of the following solutions of $H_2SO_4$ is more concentrated?,,moderate,"One molar solution of a substance signifies that one mole of the solute is present in one liter of the solution. On the other hand, one normal solution means that one-gram equivalent of the solute is present in one liter of the solution. (which cannot be greater than molar solution always).",,65,1 molar solution,1 normal solution,1 molal solution,All have same concentration,,,,,1,,,
Which of the following unit of concentration is independent of temperature?,,easy,"Molality does not depend on temperature because Molality is the number of moles of solute per kilogram of the solvent, not solution.  (Neither number of moles of solute nor mass of solvent will be affected by changes of temperature.)",,65,Molarity,Molality,Mole Fraction,All,,,,,2,,,
Which of the following combinations of liquids would be expected to have a vapor pressure higher than the vapor pressure that would be predicted by Raoult's law?,,difficult,"Mixtures that have a higher vapor pressure than predicted by Raoult's law have stronger solvent-solvent and solute-solute interactions than solvent-solute interactions. Therefore, particles do not want to stay in solution and more readily evaporate, creating a higher vapor pressure than an ideal solution. Two liquids that have different properties, like hexane (hydrophobic) and ethanol (hydrophilic, small) in Choice (A), would not have many interactions with each other and would cause positive deviation. Choices (B) and (C) are composed of liquids that are like one another and would not show significant deviation from Raoult's law. Choice (D) contains two liquids that would interact very well with each other, which would cause a negative deviation from Raoult's law—when attracted to one other, liquids prefer to stay in liquid form and have a lower vapor pressure than predicted by Raoult's law.",,65,Ethanol and Hexane,Acetone and Water,Isopropanol and Methanol,Nitric acid and Water,,,,,1,,,
The molal boiling point constant is the ration of the elevation of boiling point to,,easy,As stated above,,65,Molarity,Molality,Mole fraction of solvent,Mole fraction of solute,,,,,2,,,
