question_text,question_img_url,difficulty_level,explanation,explanation_img_url,chapter_id,question_choice_1,question_choice_2,question_choice_3,question_choice_4,question_choice_1_image_url,question_choice_2_image_url,question_choice_3_image_url,question_choice_4_image_url,correct_choice,,,,,,,
"By increasing the stretching force of wire, what will happen to the frequency",,difficult,"For example, when we apply a stretching force on the wire of a guitar, the wire applies tension backwards. Greater the stretching force, greater is the tension. The frequency of vibration of a stretched wire is directly proportional to the square root of the tension in it",,33,Increases,Decreases,Remains Same,any of above,,,,,1,,,,,,,
The speed of sinusoidal wave in the string depends on,,easy,"Velocity relation is given by
\[
\mathrm{v}=\sqrt{ \mathrm{T} / \mathrm{u})}
\]
where u is the linear density \( \mathrm{T} \) is the tension \( \mathrm{v} \) is the velocity",,33,Wavelength of wave,Frequency of Wave,Tension in String,Length of String,,,,,3,,,,,,,
Echo is the phenomenon caused by,,easy,Echo is caused by reflection of sound waves,,33,Interferance of sound,Reflection of sound,Refraction of Sound,None of these,,,,,2,,,,,,,
The points in vibrating chord having maximum amplitude are called,,moderate,The points in vibrating chords having zero displacement is called nodes and the points in vibrating chords having maximum displacement is called antinodes.,,33,Nodes,Antinodes,Troughs,Crests,,,,,2,,,,,,,
What will be effect on velocity of resultant wave if two identical wave are superimposed,,easy,"When two identical wave are superimposed the amplitude increases and velocity,
frequency and wavelength remain constant
\( \mathrm{v}=\mathrm{f} \lambda \)
\( \mathrm{v} \) is the velocity, \( \mathrm{f} \) is the frequency and \( \lambda \) is the wavelength",,33,Increases,Decreases,Remains Same,Becomes Zero,,,,,3,,,,,,,
Which one is incorrect about sound waves,,easy,The points in vibrating chords having zero displacement is called nodes and the points in vibrating chords having maximum displacement is called antinodes.,,33,It cannot travel in vaccum,It is reflected,it shows the phenomenon of interferance,it is propagated as longitudinal wave,,,,,1,,,,,,,
Velocity of sound in vacuum is,,easy,As sound cannot travel in vacuum so the speed is zero,,33,332m/s,333m/s,224m/s,0m/s,,,,,4,,,,,,,
Which one is correct representation of velocity(on y axis) and pressure(on x axis) of sound wave?,,difficult,,,33,,,,,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p3_Motion_and_force/p3q30.1.PNG,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p3_Motion_and_force/p3q30.2.PNG,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p7_Oscillations/10.3.PNG,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p3_Motion_and_force/p3q30.2.PNG,4,,,,,,,
What will be the increase in velocity of sound if we increase the temperature by 1C?,,moderate,"We know that
\[
\mathrm{v}=\mathrm{v}_{\mathrm{o}}+0.61 \mathrm{t}
\]
\( \mathrm{VT}=\mathrm{Vo}+0.61 \mathrm{T} \) where \( \mathrm{Vt} \) is velocity at temperature \( \mathrm{t} \) and \( \mathrm{Vo} \) is velocity at temperature 0 degree by putting \( t=1 C \)
\[
\mathrm{v}=\mathrm{v}_{\mathrm{o}}+0.61 |
\]",,33,1.61m/s,61m/s,0.61m/s,2.0m/s,,,,,3,,,,,,,
The velocity of sound at 10C is measured. Now the velocity of sound is doubled. What will be the new temperature?,,difficult,"We know that
\[
\mathrm{V}_{1} / \mathrm{V} 2=\sqrt{( \mathrm{T} 1 / \mathrm{T} 2)} 
\]
\[ \mathrm{V} 1 / \mathrm{V} 2=1 / 2 \]

\[
\begin{array}{l}
1 / 2=\sqrt{( \mathrm{T} 1 / \mathrm{T} 2)} \\
1 / 4=\mathrm{T} 1 / \mathrm{T} 2 \\
\mathrm{T} 2=(4) \mathrm{T} 1 \\
\mathrm{T} 1=10+273=283 \mathrm{K} \\
\mathrm{T} 2=(4) 283
\end{array}
\]
\[ \mathrm{T} 2=1132 \mathrm{K} \text{ or } 859 \mathrm{C} \]",,33,313C,859C,56C,1172C,,,,,2,,,,,,,
For ultrasound waves,,easy,For ultrasonic wave the frequency anything above 20k Hz is audible frequency,,33,frequency in audible range,frequency is greater than 20k Hz,frequency is lesser than 20k Hz,all are correct,,,,,2,,,,,,,
A string clamped at one end. The length of the string is 100cm long and vibrates in three segments. What will be the wavelength,,difficult,"We know that
\[
\lambda=2 \mathrm{l} / \mathrm{n}
\]
Where \( n \) is the number of segment, 1 is the length of string
\[
\begin{array}{l}
\lambda=(2 \mathrm{x} 1) / 3=0.66 \mathrm{m} \\
\lambda=66.7 \mathrm{cm}
\end{array}
\]",,33,33.3cm,150cm,66.7cm,300cm,,,,,3,,,,,,,
The number of beats in one second can be determined by,,easy,Number of beat in one second = Difference in the frequency of forks,,33,the sum of frequencies of two tuning fork,the difference of frequencies of two tuning fork,the ratio of frequencies of two tuning fork,the frequency of either of two tuning fork,,,,,2,,,,,,,
A wave produced in string reflects back from hard steel rod. What will be the phase difference with reference to the incident wave,,moderate,In reflection there is a phase shift of 180 in reflected rays with respect to incident rays,,33,180,90,0,45,,,,,1,,,,,,,
Silence zone is produced due to the phenomena of,,easy,Silence zone is produced when two waves having equal magnitude and opposite direction start interfering. This is known as destructive interference.,,33,Constructive Interferance,Destructive Interferance,Beats,Resonance,,,,,2,,,,,,,
Doppler’s effect is applicable for,,moderate,Doppler effect is applicable for both sound and light waves.,,33,Sound Wave,Light Wave,Niether light nor sound,Both A and B,,,,,4,,,,,,,
The velocity of sound is 330m/s in gas. Now if the pressure is increased by 4 times what will the new speed of sound?,,moderate,The velocity of sound is independent of the pressure.,,33,990m/s,330m/s,513m/s,0m/s,,,,,2,,,,,,,
The relationship of fundamental frequency for open and closed pipe?,,moderate,"We know that
\( \mathrm{F}(\text { open })=\mathrm{nv} / 2 \mathrm{l} \)
l is the length, v is the velocity
\( \mathrm{F}(\operatorname{closed})=\mathrm{nv} / 41 \)
\( \mathrm{F}(\text { open })=(\mathrm{nv} / 4 \mathrm{l}) 2 \)
\( \mathrm{F}(\text { open })=2 \mathrm{F}(\text { closed }) \)",,33,\( \mathrm{f}_{\text {open }}=\mathrm{f}_{\text {closed }} \),\( 2 \mathrm{f}_{\text {open }}=\mathrm{f}_{\text {closed }} \),\( f_{\text {open }}=2 f_{\text {closed }} \),\( f_{\text {open }}=1 / f_{\text {closed }} \),,,,,3,,,,,,,
"A source of sound waves moves towards the stationary object with the speed one third of its sound wave speed. If the frequency from source is 100Hz , what will be the apparent frequency of sound heard by the observer?",,difficult,"We know that
\[
f^{\prime}=f(v / v-u)
\]
where \( f \) is the apparent frequency, v is the velocity of sound, u is the velocity of object
\[
\begin{array}{l}
f^{\prime}=100(340 / 340-113.3) \\
f^{\prime}=149.97=150 \mathrm{Hz}
\end{array}
\]",,33,67Hz,100Hz,150Hz,75Hz,,,,,3,,,,,,,
Which one is correct relation for the speed of sound,,moderate,"The relation between newton and laplace velocity is given as
\[
V_{\text {Newton }}=V_{\text {Laplace }} / \sqrt{\Upsilon}
\]
Where \( \Upsilon=(\text { molar heat at constant pressure }) /(\text { molar heat at constant volume }) \)",,33,\( V_{\text {Newton }}=V_{\text {Laplace }} \),\( V_{\text {Newton }}=\Upsilon V_{\text {Laplace }} \),\( \mathrm{V}_{\text {Newton }}=\sqrt{\Upsilon} \mathrm{V}_{\text {Laplace }} \),\( \mathrm{V}_{\text {Newton }}=\mathrm{V}_{\text {Laplace }} / \sqrt{\Upsilon} \),,,,,4,,,,,,,
Progressive waves of frequency 300Hz are superimposed to form stationary wave. The adjacent nodes are 1.5m apart. What will be the speed of progressive wave?,,moderate,"We know that
\[
\begin{array}{l}
\mathrm{V}=\mathrm{f} \lambda \\
\mathrm{V}=300 \times 1.5 \\
\mathrm{V}=450 \mathrm{m} / \mathrm{s}
\end{array}
\]",,33,100m/s,900m/s,450m/s,300m/s,,,,,3,,,,,,,
Which phenomenon is used to calculate the speed of star while taking Earth as referenc,,easy,"We know that by Doppler effect, we calculate the frequency of sound and light. By multiplying with velocity we get speed.",,33,Dopplers's Effect,Interferenc of waves,Beats phenomenon,All of these,,,,,1,,,,,,,
The audible range is maximum for which animal,,easy,Audile Range is maximum for dolphin among the given options,,33,dolphin,dog,cat,bat,,,,,1,,,,,,,
The speed of sound in hydrogen is ______ times than that in oxygen,,difficult,"We know that
\( \mathrm{V}=\sqrt{( \mathrm{\gamma} \mathrm{P} / \mathrm{p})} \)
\( \mathrm{V}_{1}= \) constant \( 1 / \sqrt{\mathrm{p}_{1}}(\text { for hydrogen }) \)
\( \mathrm{V}_{2}= \) constant \( 1 / \sqrt{\mathrm{p}_{2}}(\text { for oxygen }) \)
Taking ratio
\( \mathrm{V}_{1} / \mathrm{V}_{2}=\sqrt{( \mathrm{p}_{2} / \mathrm{p}_{1}) } \)
\( \mathrm{V}_{1}=\sqrt{( \mathrm{p}_{2} / \mathrm{p}_{1})} \times \mathrm{V}_{2} \)
\( \mathrm{V}_{1}=\sqrt{( \mathrm{M}_{2} / \mathrm{M}_{1}) } \times\mathrm{V}_{2} \)
\( \mathrm{V}_{1}=\sqrt{( 16 / 1)} \times \mathrm{V}_{2} \)
\( \mathrm{V}_{1}=4 \mathrm{V}_{2} \)",,33,2 times,3 times,4 times,6 times,,,,,3,,,,,,,
"According to Newton’s calculation, the speed of sound is ",,easy,"Speed of sound by newton \( =281 \mathrm{m} / \mathrm{s} \)
Speed of sound by Laplace \( =333 \mathrm{m} / \mathrm{s} \)",,33,281 m/s,333 m/s,340 m/s,all of these,,,,,1,,,,,,,
The source of sound wave is moving towards the stationary observer. How do the pitch of sound changes,,easy,Pitch is the quality of sound in which we can distinguish between higher and lower sound. When the source of sound wave moves towards stationary observer the frequency increases so do pitch.,,33,Decreases,Increases,Remain Same,First increase than decrease,,,,,2,,,,,,,
The beats frequency (sensible) for human ears,,easy,Information,,33,24Hz,10Hz,12Hz,16Hz,,,,,2,,,,,,,
In destructive interface the path difference between two interfering sounds should be,,moderate,"The path difference in destructive interface \( =\Delta \mathrm{S}=(\mathrm{n}+1 / \mathrm{n}) \lambda \)
The path difference in constructive interface \( =\Delta \mathrm{S}=\mathrm{n} \lambda \)
Where \( n=0,+1,-1,+2,-2 \)",,33,\( n \lambda \),\( (n+1 / n) \lambda \),\( (n+2 / n) \lambda \),none of these,,,,,2,,,,,,,
A phenomenon which distinguish between longitudinal and transverse wave is,,moderate,Polarization is used to distinguish between longitudinal and transverse wave. It also use to confine the two dimensional wave into one dimensional wave.,,33,Dopplers's Effect,Polarization,Beats,Interference,,,,,2,,,,,,,
At what temperature the speed of sound in air becomes 1.5 times than its value at 27C?,,difficult,"We know that
\[
\mathrm{V} 1 / \mathrm{V} 2=\sqrt{( \mathrm{T} 1 / \mathrm{T} 2)}
\]
\[
 (\mathrm{V} 1 / \mathrm{V} 2)^{2} \mathrm{T} 2=\mathrm{T} 1 
\]
\[
\begin{array}{l}
\mathrm{T} 2=27+273=300 \mathrm{K} \\
\mathrm{T} 1=(1.5)^{2}(300) \\
\mathrm{T} 1=675 \mathrm{K} \\
\mathrm{T} 1=675-273=402 \mathrm{C}
\end{array}
\]",,33,102C,204C,250C,402C,,,,,2,,,,,,,
A transverse wave travelling along the string reflects back from steel rod. Which property does not change,,easy,"When a transverse wave reflects back the amplitude and velocity, frequency and
wavelength remain constant
\( \mathrm{v}=\mathrm{f} \lambda \)
In reflection there is a phase shift of 180 in reflected rays with respect to incident rays",,33,frequency,wavelength,phase,frequency andwavelength,,,,,4,,,,,,,
We know that sound travels faster in solid than liquid. This is mainly due to,,moderate,"We know that
\( \mathrm{V}=\sqrt{( \mathrm{E} / \mathrm{p})} \)
Where \( \mathrm{E} \) is the elasticity modulus and \( \mathrm{p} \) is the density
\( \mathrm{V} \propto \sqrt{\mathrm{E}} \)
elasticity modulus is greater for solid relative to air
Hence \( \mathrm{E}_{\text {air }}<\mathrm{E}_{\text {solid }} \)",,33,\( \mathrm{E}_{\text {air }}>\mathrm{E}_{\text {solid }} \),\( \mathrm{p}_{\text {air }}>\mathrm{p}_{\text {solid }} \),\( \mathrm{E}_{\text {air }}<\mathrm{E}_{\text {solid }} \),\( \mathrm{p}_{\text {air }}<\mathrm{p}_{\text {solid }} \),,,,,3,,,,,,,
Wave motion transfer all of the following except,,easy,A wave cannot transfer mass,,33,mass,energy,momentum,None of these,,,,,1,,,,,,,
The relation between phase difference and path difference is,,moderate,"Phase difference \( (\phi)=2 \pi / \lambda \) x path difference \( (\mathrm{x}) \)
\( \phi=2 \pi \mathrm{x} / \lambda \)
\( x=\phi \lambda / 2 \pi x \)",,33,\( \phi=2 \pi x / \lambda \),\( \phi=2 \pi / \mathrm{x} \),\( \phi=2 \pi \lambda / \mathrm{x} \),\( \phi=2 \pi / \lambda \),,,,,1,,,,,,,
The type of wave which do not requires medium for their propagation is called,,easy,Definition for Electromagnetic or non mechanical wave,,33,Electromegnetic Wave,Mechanical Wave,Non Mechanical Wave,Both A and C,,,,,4,,,,,,,
A planet destroys as a result of an explosion. The observer on Earth can,,moderate,as there is vacuum between planets and sound cannot travel through vacuum so we cannot hear the explosion but we can see the explosion as light does not require any medium for its transmission,,33,only hear explosion,only see the explosion,see and hear the explosion,niether see nor hear the explosion,,,,,2,,,,,,,
Mechanical waves can be,,easy,"Types of mechanical wave
1. Longitudinal wave
2. Transverse wave",,33,Longitudinal only,Transverse only,transverse and longitudinal,None of these,,,,,3,,,,,,,
The percentage error in the value of speed of sound calculated by Newton at STP is,,moderate,"Speed of sound according to Newton \( =281 \mathrm{m} / \mathrm{s} \)
Speed of sound according to Laplace \( =333 \mathrm{m} / \mathrm{s} \)
\[
\begin{array}{l}
\text { Error }=(333-281) / 333=0.156=1.16 \\
\text { Error} \% =0.16 \mathrm{x} 100=16 \%
\end{array}
\]",,33,14 $ \% $,16 $ \% $,15 $ \% $,18 $ \% $,,,,,2,,,,,,,
"If the length of first resonance in a closed pipe is 33cm, what will be the length of second resonance",,moderate,"We know that

\[
\begin{array}{l}
\mathrm{F}(\operatorname{closed})=\mathrm{nv} / 41 \\
\text{Also } \mathrm{f}_{\mathrm{n}}=\mathrm{nf}_{1} \\
\mathrm{f}_{1}=33 \mathrm{cm} \\
\mathrm{f}_{1}=\mathrm{v} / 41 \\
\mathrm{f}_{1}=340 / 4 \mathrm{x} 0.33=257.57 \mathrm{Hz} \\
\mathrm{f}_{2}=2 \mathrm{x} 252.27=515.15 \mathrm{Hz} \\
\mathrm{f}_{2}=\mathrm{v} / 41 \\
\mathrm{l}=\mathrm{v} / 4 \mathrm{f}_{1}\\
1=(340) /(4 \times 515.15) \\
\mathrm{l}_{2}=0.165 \mathrm{m}=16.5 \mathrm{cm}
\end{array}
\]",,33,16.5cm,66cm,33cm,132cm,,,,,1,,,,,,,
In a stationary waves the distance between two consecutive antinodes is 25cm. If the speed of wave is 300m/s then the frequency of wave is,,easy,"We know that
\[
\begin{array}{l}
\lambda / 2=50 \mathrm{cm} \\
\lambda=50 \mathrm{cm} \\
\mathrm{V}=\mathrm{f} \lambda \\
\mathrm{f}=\mathrm{v} / \lambda=(300) / 0.5 \\
\mathrm{f}=600 \mathrm{Hz}
\end{array}
\]",,33,150Hz,300Hzz,600Hz,750Hz,,,,,3,,,,,,,
The ratio of intensity of sound is 1:16. Then the ratio of their amplitude is,,moderate,"Intensity and amplitude is given as
\( \mathrm{I}=(1 / 2) \mathrm{pw}^{2} \mathrm{A}^{2} \)
Where \( p \) is the density, w is the angular frequency and \( A \) is the amplitude of sound.
\( \mathrm{I}_{1}=\mathrm{const} \mathrm{A}_{1}^{2} \)
\( \mathrm{I}_{2}=\mathrm{const} \mathrm{A}_{2}^{2} \)
Taking the ratio
\( \mathrm{I}_{1} / \mathrm{I}_{2}=\left(\mathrm{A}_{1} / \mathrm{A}_{2}\right)^{2} \)
\( \mathrm{I}_{1} / \mathrm{I}_{2}=(1 / 16)^{2}=1 / 4 \)",,33,1:4,4:1,1:2,1:1,,,,,1,,,,,,,
"Tube A has both ends open and B has one end opens, ratio of their fundamental fA:fB is",,moderate,"We know that
\[
\begin{array}{l}
\mathrm{F}(\text { open })=\mathrm{nv} / 2 \mathrm{l} \\
\mathrm{F}(\text { closed })=\mathrm{nv} / 41 \\
\mathrm{F}(\text { open })=(\mathrm{nv} / 4 \mathrm{l}) 2 \\
\mathrm{F}(\text { open })=2 \mathrm{F}(\text { closed }) \\
\text{Or } \mathrm{F}(\mathrm{A}) / \mathrm{F}(\mathrm{B})=2 
\end{array}
\]",,33,1:2,2:1,1:4,4:1,,,,,2,,,,,,,
Which of the following is not an optically active substance,,easy,Substances that can rotate the plane polarized light is called optically active. Water is an optically active substance,,34,sugar,tartaric acid,water,sodium chloride,,,,,3,,,,,,,
 What will be the phase difference between waves if two coherent sources produces a dark fringe,,moderate,Dark fringes will be produced when there are destructive interference. The condition for that is the two waves should have a phase difference of an odd integral multiple of $ /pi $,,34,zero,\( 2 \pi \),\( n \pi \),"\( (2 n-1) \pi, n=1,2,3,4 \)",,,,,4,,,,,,,
Huygen’s construction can be applicable fo,,easy,Huygen contruction is applicable for all electromagnetic waves including light.,,34,light,Electromagnetic waves,transverse waves,Both A and B,,,,,4,,,,,,,
"In young’s double slit experiment, two coherent light sources S1 and S2 are used which as a result produces fringes. If λ is the wavelength of source light, and P is the point where second bright fringe is formed. What will be path difference between S1P and S2P",http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p9_Physical_optics/p9q4.PNG,moderate,"We know that
Path difference \( =\mathrm{n} \lambda \) where \( \mathrm{n}=2 \) for bright fringe
n is the fringe number, \( \lambda \) is the wavelength
So Path difference \( =2 \lambda \)",,34,\( \lambda \),\( 2 \lambda \),\( 3 \lambda / 2 \),\( 4 \lambda \),,,,,2,,,,,,,
 Huygen wave theory can explain all of these except,,easy,Photoelectric effect is the induction of voltage when cell is exposed to light. Huygen wave cannot explain photoelectric phenomenon.,,34,diffraction,Interference,polarization,photoelectric effect,,,,,4,,,,,,,
The reason beside using two slits instead of one in Young’s double slit is,,moderate,"We use two slits in YDS in other to have a path difference between interfering light
Path difference \( =\mathrm{n} \lambda \) for bright fringe
\( \mathrm{n} \) is the fringe number, \( \lambda \) is the wavelength
Path difference \( =(2 \mathrm{n}-1) \lambda \) for dark fringe",,34,one slit for frequency the other one for wavelength,two slits in parallel other for less resistance,to  create the intensity,to create a path difference,,,,,4,,,,,,,
Longitudinal waves possess all of the following except ,,easy,Polarization is the property of electromagnetic waves. Longitudinal wave is confined to 1 plane while electromagnetic wave exit in 2 plane.,,34,reflection,refraction,diffraction,polarizatiion,,,,,4,,,,,,,
In the equation $\sin \phi$ \( =\lambda \) a for single slit diffraction the angle \( \phi \) is,,easy,Information,,34,the angle to the second maximum,the angle to the first maximum,the phase between the extreme phase,None of these,,,,,2,,,,,,,
"The equation for diffraction grading is \( \mathrm{d} \sin \phi=\mathrm{m} \lambda, \) here 'm' represents",,easy,Information,,34,the slit width,the number of slits,the order of line,the slit sepration,,,,,3,,,,,,,
Which of the following is nearly a monochromatic light?,,moderate,Monochromatic means light having a particular color that have specific wavelength and frequency Sodium lamp emits light that is very much confined to yellow light so it is considered to be mono.,,34,light from fluorescent tube,light from sodium lamp,light from mercury lamp,light from simple lamp,,,,,2,,,,,,,
The locus of all the points in a medium having same phase of vibration is known as,,easy,Definition of wave fronts,,34,wavelength,wavefronts,crest,trough,,,,,2,,,,,,,
The sources of light are considered to be coherent if they emit rays of,,easy,Condition of coherence,,34,same wavelength,same amplitude of vibrations,same wavelength with constant phase difference,same amplitude and same wavelength,,,,,3,,,,,,,
"When crest of one wave falls on the trough of the second wave, the phenomena takes place known as",,easy,Destructive interference takes place when two wave having same frequency and magnitude but are 180 phase apart are turned to interfere.,,34,polarization,constructive interference,destructive interference,diffraction,,,,,3,,,,,,,
In Young’s double slit experiment the fringe spacing is equal to,,moderate,"fringe spacing is given by
\( \Delta Y=\lambda \mathrm{L} / \mathrm{d} \)
\( \mathrm{D} \) is the distance between source and screen \( \lambda \) is the wavelength
Or \( \Delta Y=\lambda D / d \)",,34,\( d \lambda D \),\( 2 \mathrm{d} \lambda / \mathrm{D} \),\( \lambda \mathrm{D} / \mathrm{d} \),\( d \lambda /\mathrm{D} \),,,,,3,,,,,,,
"In Young double slit experiment, if one light used is green and other light used is blue. Then the interference pattern",,moderate,Condition for Young double slit experiment is that the light used must be monochromatic that is of same color.,,34,will be green,will be blue,mix of blue and green,will not form,,,,,4,,,,,,,
Crystals of a material can be used as,,easy,A diffraction grading is a glass plate having a large number of close parallel equidistant slits mechanically ruled on it. Crystals of a material can be used as diffraction grading,,34,convex lens,interferometer,diffraction grating,concave lens,,,,,3,,,,,,,
The experiment from which it can be proved that the wavelength of light is small than that of sound,,moderate,"The relation for wavelength in diffraction grading is given as
\( \mathrm{d} \sin \phi / \mathrm{n}=\lambda \)
So we can calculate the wavelength of sound and light",,34,diffraction,Polarization,interference,Reflection,,,,,1,,,,,,,
In double slit experiment if one of source light is covered then,,moderate,"The condition for Young double slit experiment is two light sources having same frequency, wavelength or color are then turned to interfere. Without one light there would be no interference",,34,no interference fringes are observed,no diffraction fringes are observed,no fringes observed,interference pattern not disturbed,,,,,1,,,,,,,
If we view a blue book with a monochromatic red light then the color of book is likely to be,,moderate,A book looks blue it absorb all the colors and reflect blue. But if we use only red light it will absorb that and it looks black.,,34,red,black,blue,green,,,,,2,,,,,,,
Which one of the following cannot be polarized ,,moderate,All the longitudinal waves like sound etc cannot be polarized because the                                                                    .            motion of the particles is already in one dimension that is the direction of propogation .            .            of wave,,34,ultrasonic waves,ultravoilet rays,X Rays,None of these,,,,,1,,,,,,,
If we pass the light through polarize light then the resultant light is ,,easy,Plane polarized mean confined to one plane.,,34,plane polarized,un polarized,circular polarized,elliptical polarized,,,,,1,,,,,,,
In plane polarized light the electric vibrations are,,easy,Information,,34,in all direction,in two mutually perpendicular direction,no vibration at all,taking plane perpendicular too the direction of propagation of light,,,,,4,,,,,,,
A diffraction grading constitute of 500 lines per mm. Its slit spacing or grading element will be equal to,,moderate,Grading element \( =\mathrm{d}=(1 / 500) \mathrm{mm}=(1 / 500000)=2 \mathrm{x} 10^{-6} \mathrm{m} \),,34,\( 500 \mathrm{nm} \),\( 5 \times 10^{-3} \mathrm{mm} \),\( 2 \times 10^{-3} \mathrm{m} \),\( 2 \times 10^{-6} \mathrm{m} \),,,,,4,,,,,,,
The wavelength of X rays is in the order of,,easy,Information,,34,\( 10 \mathrm{A}^{\circ} \),\( 1000 \mathrm{A}^{\circ} \),\( 100 \mathrm{A}^{\circ} \),\( 1 \mathrm{A}^{\circ} \),,,,,4,,,,,,,
"The sky appears blue, which is due to",,easy,Sky look blue as it absorbs all other rays and reflect only blue rays.,,34,diffraction,reflection,polarization,scattering,,,,,2,,,,,,,
A light ray traveling from denser to rarer medium will likely to have phase difference of,,easy,"Phase shift of light when travel from denser to rare medium \( =0 \)
Phase shift of light when travel from rare to denser medium \( =180 \)",,34,90,180,0,45,,,,,3,,,,,,,
In Young’s double slit experiment if we half the distance between the slit and doubled the distance between slit and screen. The fringe width will be,,moderate,"We know that
\[
\Delta Y=\lambda \mathrm{L} / \mathrm{d}
\]
D is the distance between source and screen \( \lambda \) is the wavelength
\[
\begin{array}{l}
\Delta Y=\lambda(2 L) /(d / 2) \\
\Delta Y=4 \lambda L / d \\
\Delta Y(\text { new })=4 \Delta Y(\text { old })
\end{array}
\]",,34,halved,doubled,remain same,become 4 times,,,,,4,,,,,,,
Diffraction effect is,,moderate,Bending of light is called diffraction. It is common for surfaces having sharp edge,,34,more for a round edge,less for a round edge,more for a sharp edge,less for a sharp edge,,,,,3,,,,,,,
The polarization of light proved that it has,,moderate,Transverse are the waves in which the direction of wave is perpendicular to the motion of particle and light also travel perpendicular to electric and magnetic field which is proved by polarization of light,,34,longitudinal nature,transverse nature,non mechanical nature,mechanical nature,,,,,2,,,,,,,
Sound waves does not show which of the following,,easy,"All the longitudinal waves like sound etc cannot be polarized because the motion of the particles is already in one dimension, that is, the direction of propagation of wave",,34,Diffraction,Polarization,Interference,Scattering,,,,,2,,,,,,,
Which of the following equation represent Bragg’s law,,easy,"Bragg equation is given by
\( d \sin \theta=n \lambda / 2 \)",,34,\( d \sin \theta=n \lambda \),\( d \sin \theta=(n+1 / n) \lambda \),\( \mathrm{d} \sin \theta=\mathrm{n} \lambda / 2 \),None of these,,,,,3,,,,,,,
"If we see the Newton’s ring from the top, what will happen in the center",,moderate,"In destructive interference, the center will look dark while in constructive interference the center will look bright",,34,centre is dark,Destructive interference take place,centre is white,Both A and C,,,,,4,,,,,,,
In Young double slit experiment if we see 4 fringes above the center. What will be the total number of fringes present on the screen,,moderate,"Total number of fringes \( =2(\text { fringes above center })+1 \)
Or

Total number of fringes \( =2(\text { fringes below center })+1 \)

Total number of fringes \( =9 \)",,34,4,5,7,9,,,,,4,,,,,,,
The relation for fringe spacing in accordance with Young double slit experiment is,,easy,"the fringe spacing according to young double slit experiment
\( \Delta \mathrm{y}=\lambda \mathrm{L} / \mathrm{d} \)
L is the distance between source and screen \( \lambda \) is the wavelength",,34,\( \Delta y=\lambda \mathrm{L} / \mathrm{d} \),\( \Delta \mathbf{y}=(\mathrm{m}+1 / 2) \lambda \mathrm{L} / \mathrm{d} \), \( \Delta y=m \lambda L / d \),All of these,,,,,1,,,,,,,
A student bought two bulbs of same light. He placed the bulbs near narrow slit and did not observed the interference. This is due to,,moderate,"The condition for Young double slit experiment is two light sources having same frequency, wavelength or color are then turned to interfere. Rays are considered to be coherent if they have same wavelength with constant phase difference.",,34,Rays were not monochromatic,Rays were coherent,Rays were monochromatic,Rays were not coherent,,,,,4,,,,,,,
If we decrease the intensity of source light in Young double slit experiment. What will be the new pattern,,moderate,"Intensity of light is directly related with amplitude of light. If the amplitude decreases, then Dark fringes will become less dark and bright fringes will become less bright",,34,Dark fringes will becomes bright and bright fringes will become dark,Dark fringes will become less dark and bright fringes will become less bright,Dark fringes will becomes more dark and bright fringes will become more bright ,Remain same,,,,,2,,,,,,,
"
Two rays of light are said to be monochromatic if they have
",,easy,Mono means single chromatic means color.,,34,same intensity,same color,same amplitude,same speed,,,,,2,,,,,,,
In YDSE the process taking place is ,,moderate,In Young double slit experiment when the light passes through it bends which is a phenomenon known as diffraction. Then the diffracted light interferes constructively or destructively to form fringes.,,34,Interference,Diffraction,Both A and B,None of these,,,,,3,,,,,,,
Stars twinkle due to ,,easy,we know that atmosphere consist of gases that are non uniform. Light reflects back from these non uniform density of gases and hence we see stars twinkling.,,34,the fact that they do not emit light continously,the non uniform density of atmosphere ,the uniform density of atmosphere                                           ,None of these,,,,,2,,,,,,,
Which of the following scientist first give the idea of wave nature of light?,,easy,Huygen gave the  idea of wave nature of light and Young proved it.,,34,Huygen's,de Broglie,Young,Maxwell,,,,,1,,,,,,,
In order to increase the resolving power of telescope we,,moderate,"We know that
\[
\mathrm{R}=\mathrm{D} / 1.22 \lambda
\]
$\mathrm{R}$ is the resolution $\mathrm{D}$ is the diameter $\lambda$ is the wavelength
$\mathrm{R} \propto \mathrm{D}$
So by increasing the diameter of lens we can increase the resolution.",,35,Increase the objective focal length and decrease the eyepiece focal length, Increasing the lens diameter,Decreasing the lens diameter  ,By adding a correction lens between eye piece and objective lens,,,,,2,,,,,,,
Magnification power of simple microscope,,moderate,"We know that
\[
\mathrm{M}=\mathrm{d} / \mathrm{p}
\]
d is the image size $\mathrm{p}$ is the object size $\mathrm{M}$ is the magnification
\[
\text { Also } \mathrm{M}=1+\mathrm{d} / \mathrm{f}
\]
So by increasing the focal length we can decrease the magnification of simple
microscope.",,35,Increase with increase in focal length  ,Decrease with increase in focal length,Increase with decrease in focal length ,Both Band C,,,,,4,,,,,,,
